quality_score,Species,Country of Origin,Farm Name,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Min_Altitude,Max_Altitude
82.33,Arabica,Guatemala,EL MORITO,BENEFICIO IXCHEL,11/23/1015,"UNEX (GUATEMALA), S.A.",4300,ORIENTE,ROBERTO MONTERROSO,250,69,2013,"July 16th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82,12%,2 full defects,0,Green,1 full defects,"July 16th, 2014",4300,4300
82.33,Arabica,Colombia,,trilladora Bonanza,68-0220,Exportadora de Cafe Condor S.A,1750 msnm,huila,,250,70,2013,"June 21st, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82,0%,0 full defects,0,Green,1 full defects,"June 21st, 2014",1750,1750
82.33,Arabica,Mexico,SANTA TERESA,AMSA TUXTLA,2222,ECOMTRADING,1300,"LA CONCORDIA, CHIAPAS",AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,250,1,2013,"March 15th, 2013",ALFREDO BOJALIL,Typica,Completed,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82,12%,0 full defects,0,Green,3 full defects,"March 15th, 2014",1300,1300
82.33,Arabica,Guatemala,FINCA EL MORITO,BENEFICIO EL MORITO,11/9768/02,FINCA EL MORITO,"5,500-6,000 PSNM",JALAPA,"CAFE MOLINO MONTERROSO P,J. ROBERTO",275,69,2012,"October 5th, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82,11%,0 full defects,0,Green,3 full defects,"October 5th, 2013",5,6
82.33,Arabica,Mexico,TEPEMALACAX,EN TLALNEPANTLA,1702806437,,441,"JALTOCAN, HIDALGO","SALAZAR HERNANDEZ, ROBERTO",10,1,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Completed,Natural / Dry,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82,15%,1 full defects,0,None,8 full defects,"September 27th, 2013",441,441
82.33,Arabica,Mexico,FINCA LOS BARREALES 1112LBGA7250412,"FINCA LOS BARREALES, TEOCELO, VERACRUZ",0,FINCA LOS BARREALES,1170,TEOCELO,MANUEL HERRERA JUAREZ,10,1,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Completed,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82,13%,0 full defects,0,Green,9 full defects,"August 31st, 2013",1170,1170
82.33,Arabica,Guatemala,AGROPECUARIA QUIAGRAL,BENEFICIO IXCHEL,11/23/0394,"UNEX (GUATEMALA), S.A",4300,ORIENTE,AGROPECUARIA QUIAGRAL,250,1,2012,"May 23rd, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82,10%,2 full defects,0,Green,5 full defects,"May 23rd, 2013",4300,4300
82.33,Arabica,Brazil,Sitío Santa Luzia,,002/1251/0243,NUCOFFEE,1100m,Grama Valley,José Malagutti,16,60,2012,"April 11th, 2012",NUCOFFEE,Mundo Novo,Completed,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82,12%,0 full defects,0,Green,2 full defects,"April 11th, 2013",1100,1100
82.33,Arabica,Mexico,CAFETAL SANTA MARIA,CAFETAL SANTA MARIA,1405830166,ECZCAFE FINO S.A. DE C.V.,1200 A 1400,SANTA CATARINA JUQUILA,MARIA LUISA DELCARMEN ROJAS NARVAEZ,10,1,2012,"March 5th, 2012",MARIA LUISA DEL CARMEN ROJAS NARVAEZ,Typica,Completed,Washed / Wet,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82,11%,0 full defects,0,Green,0 full defects,"March 5th, 2013",1200,1200
82.33,Arabica,Brazil,Café Citrus,,002/1251/0247,NUCOFFEE,950m,South of Minas Gerais,José Alberto dos Santos,44,60,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Completed,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82,11%,0 full defects,0,Green,2 full defects,"February 16th, 2013",950,950
82.33,Arabica,Colombia,,,3-59-0787,CARCAFE LTDA CI,442 MSNM,HUILA,JAIME PULIDO / ERMILSON RAMOS,250,70,2012,"January 31st, 2012",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82,0%,0 full defects,0,Green,0 full defects,"January 30th, 2013",442,442
82.25,Arabica,Brazil,FAZENDAS KLEM LTDA,DRY MILL,002/1566/0003,Klem Organics Coffee,1100,BRAZIL MATAS DE MINAS,NAGIPE VIANA KLEM,1062,5,,"November 15th, 2017",KlemOrganics,Catuai,Completed,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82,9%,2 full defects,6,Green,10 full defects,"November 15th, 2018",1100,1100
82.25,Arabica,Taiwan,????        ,????????????4?88?        ,,????        ,,,???0918232039        ,1,10,2016/2017,"February 13th, 2017",CQI Taiwan ICP CQI??????,,Completed,,7,7.08,7,7.17,7,7,10,10,10,10,82,10%,0 full defects,0,Blue-Green,0 full defects,"February 13th, 2018",,
82.25,Arabica,Guatemala,LINDA VISTA,BENEFICIO HUMEDO,11/973/158,"MERCON GUATEMALA, S.A.",1450,NUEVO ORIENTE,PABLO CHUY,275,69,2016,"August 31st, 2016",Juan Luis Alvarado Romero,Pacas,Completed,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82,11%,0 full defects,2,Green,2 full defects,"August 31st, 2017",1450,1450
82.25,Arabica,Brazil,Rio Verde,Ipanema Comercial e Exportadora SA,002/4177/0150,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,180,2,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82,0%,0 full defects,0,Green,9 full defects,"October 7th, 2016",1,1
82.25,Arabica,El Salvador,Zapato de Mico,Tuxpal,391,Consejo Salvadoreño del Café,1500,Apaneca-Ilamatepec,"Tropical Farm Management El Salvador, S.A. de C.V.",275,1,2014,"July 8th, 2015",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82,12%,0 full defects,0,Green,0 full defects,"July 7th, 2016",1500,1500
82.25,Arabica,Honduras,Bethel,Cadexsa,13-63-206,CADEXSA,1350,Marcala,Omar Acosta,275,1,2015,"April 15th, 2015",CADEXSA,Catuai,Completed,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82,11%,0 full defects,0,Green,2 full defects,"April 14th, 2016",1350,1350
82.25,Arabica,Malawi,Kachere,Mzuzu Coffee Coop Union,C20,Mzuzu Coffee Planters Coop Union,1180M,South of Mzuzu,Mzuzu Coffee Coop Union,10,60,2014,"November 4th, 2014",AFCA,Gesha,Completed,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,82,13%,0 full defects,0,Blue-Green,0 full defects,"November 4th, 2015",1180,1180
82.25,Arabica,Brazil,Rio Verde,Ipanema Coffees,002/1660/0065,Ipanema Coffees,1100,South Minas Gerais,Ipanema Agrícola SA,320,2,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82,11%,0 full defects,0,Green,0 full defects,"October 16th, 2015",1100,1100
82.25,Arabica,Taiwan,Guo xing ka fei wang ?????????,Guo xing ka fei wang ?????????,,Blossom Valley????,650 M,Nantou Guoxing ??????,Lin yu tang ???,35,60,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI??????,Typica,Completed,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,82,11%,0 full defects,0,Green,0 full defects,"December 26th, 2014",650,650
82.25,Arabica,Mexico,FINCA HUEHUETECPAM,"COSAUTLAN DE CARVAJAL, VER",1104387103,,1338,"COSAUTLAN DE CARVAJAL, VER.",MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ,150,1,2013,"July 19th, 2013",JESUS CARLOS CARDENAS VALDIVIA,Mundo Novo,Completed,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82,12%,0 full defects,0,Blue-Green,4 full defects,"July 19th, 2014",1338,1338
82.25,Arabica,United States (Hawaii),,,KF3150140,Kona Pacific Farmers Cooperative,,KONA,,6,9.1125,2013,"May 3rd, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,7.42,82,0%,0 full defects,0,Bluish-Green,1 full defects,"May 3rd, 2014",,
82.25,Arabica,Mexico,OMICUATLA,COMITLA,842046,,533,"CALNALI, HIDALGO",FELIX DE LA CRUZ CASIMIRO,10,1,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Bourbon,Completed,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82,16%,3 full defects,0,None,8 full defects,"September 27th, 2013",533,533
82.25,Arabica,Guatemala,FINCA MEDINA,FINCA MEDINA,11-11711-19,"SIEMBRAS VISION, S.A. / ING. JORGE BOLAÑOS",4563,ANTIGUA,"SIEMBRAS VISION, S.A.",275,69,2012,"September 19th, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82,11%,0 full defects,0,Green,2 full defects,"September 19th, 2013",4563,4563
82.25,Arabica,Mexico,LOS BARREALES 1112LBGR7230412,"FINCA LOS BARREALES, TEOCELO, VERACRUZ",0,FINCA LOS BARREALES,1170,TEOCELO,MANUEL HERRERA JUAREZ,10,1,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Completed,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82,13%,0 full defects,0,Green,3 full defects,"August 31st, 2013",1170,1170
82.25,Arabica,Mexico,JAMAICA,"FINCA JAMAICA, SAN GABRIEL MIXTEPEC, JUQUILA, OAXACA",1405818311,,1250,JUQUILA,GUILLERMO ROJAS SALDAÑA,40,1,2012,"August 30th, 2012",GUILLERMO ROJAS SALDANA,Typica,Completed,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,82,12%,0 full defects,0,Green,13 full defects,"August 30th, 2013",1250,1250
82.25,Arabica,El Salvador,,,009/0060/45L2,Atlantic Specialty Coffee,,,,288,1,2012,"August 21st, 2012",Adam Kline,Other,Completed,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,7.33,82,0%,2 full defects,0,Green,5 full defects,"August 21st, 2013",,
82.25,Arabica,Mexico,CHILCUATLA,CAFETALERA LA CUCHILLA,1102751473,,1100,HUATUSCO,SERGIO DE LA VEQUIA BERNARDI,250,1,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Completed,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,82,11%,0 full defects,0,Green,0 full defects,"July 11th, 2013",1100,1100
82.25,Arabica,Mexico,COMUNIDAD DE CANOAS,PRODUCTOS ORGANICOS DE CANOAS SPR DE RL,2671,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,900,CANOAS,COOP,250,1,2012,"April 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Completed,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,82,10%,0 full defects,0,Green,3 full defects,"April 2nd, 2013",900,900
82.25,Arabica,Colombia,,trilladora Bonanza,3-68-0088,Exportadora de Cafe Condor S.A,1750,huila,,250,70,2012,"February 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82,12%,0 full defects,0,Green,1 full defects,"February 21st, 2013",1750,1750
82.25,Arabica,Colombia,,,3-37-0663,C.I.Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,100,70,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,82,11%,0 full defects,0,Green,0 full defects,"February 8th, 2013",1600,1600
82.25,Arabica,Brazil,Caxambu,,002/1251/0183,NUCOFFEE,,,Carmem Lucia Chaves de Brito,84,60,2012,"January 23rd, 2012",NUCOFFEE,Arusha,Completed,Natural / Dry,7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,82,12%,0 full defects,0,Green,1 full defects,"January 22nd, 2013",,
82.17,Arabica,Brazil,Fazenda Capoeirinha,Dry mill,002/1660/0105,Ipanema Coffees,934,South of Minas Gerais,Ipanema Agricola,320,60,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82,11%,0 full defects,1,Green,5 full defects,"August 16th, 2017",934,934
82.17,Arabica,Honduras,Las Cuchillas,Dry mill,13-111-054,CIGRAH S.A DE C.V,1500,Comayagua,Nahun Maldonado,200,69,2015,"June 9th, 2016",Bismarck Castro,Caturra,Completed,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,82,11%,0 full defects,1,Bluish-Green,2 full defects,"June 9th, 2017",1500,1500
82.17,Arabica,Nicaragua,EL BRIGADUM - LA CORONELA,DRY MILL,16042,"BENEFICIADORA NORTEÑA DE CAFE, S. A. (BENCAFE)",1000,JINOTEGA PROVINCE,MARCIO ALBERTO RIVERA CASTELLON,275,69,,"March 15th, 2016","BENCAFE, S. A.",,Completed,,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82,10%,0 full defects,0,Green,1 full defects,"March 15th, 2017",1000,1000
82.17,Arabica,"Tanzania, United Republic Of",Langiro farm group,Mbinga,CA058,TAWOCA,1500-1800,Ruvuma,Langiro farm group,30,80,2015,"November 16th, 2015",Langiro Farm group,Bourbon,Completed,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,82,13%,1 full defects,0,Green,6 full defects,"November 15th, 2016",1500,1800
82.17,Arabica,"Tanzania, United Republic Of",,,3881832/P1412427,Ibero Tanzania,1600,Northern,,300,60,2015/2016,"October 20th, 2015",IBERO COFFEE TRADING CO (T) LTD,Other,Completed,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,82,12%,0 full defects,0,Green,1 full defects,"October 19th, 2016",1600,1600
82.17,Arabica,Brazil,Rio Verde,Ipanema Comercial e Exportadora SA,002/4177/0164,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,320,2,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82,0%,0 full defects,0,Green,1 full defects,"October 7th, 2016",1,1
82.17,Arabica,Thailand,,,49881,Doi Tung Development Project,800++,THAILAND,Doi Tung Development Project,1,1,2014,"June 9th, 2015",Doi Tung Development Project,,Completed,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,82,12%,0 full defects,0,Bluish-Green,0 full defects,"June 8th, 2016",800,800
82.17,Arabica,Honduras,Bethel,CADEXSA,13-63-206,CADEXSA,1350,Marcala,Omar Acosta,275,1,2015,"April 15th, 2015",CADEXSA,Catuai,Completed,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,82,11%,0 full defects,0,Green,2 full defects,"April 14th, 2016",1350,1350
82.17,Arabica,Guatemala,Blue Lake,,11873168,Essence Coffee,1500,Atitlan,,250,69,2014,"March 21st, 2015",EssenceCoffee,Bourbon,Completed,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,82,9%,0 full defects,0,Blue-Green,4 full defects,"March 20th, 2016",1500,1500
82.17,Arabica,Brazil,,,002/4542/0274,BOURBON SPECIALTY COFFEES,,CERRADO - CAMPOS ALTOS,,300,60,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Mundo Novo,Completed,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,7.5,82,12%,0 full defects,0,Green,1 full defects,"January 15th, 2016",,
82.17,Arabica,"Tanzania, United Republic Of",Ilomba 2,Tembo Coffee Company Ltd,C33,Tembo Coffee Company Ltd,1700,"Ilomba Vilage, Mbozi",Tembo Coffee Company Ltd,10,60,2014,"December 15th, 2014",Tembo Coffee Company Ltd,Other,Completed,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,82,12%,0 full defects,0,Green,1 full defects,"December 15th, 2015",1700,1700
82.17,Arabica,Mexico,EL PINO,"EL PINO, COSAUTLAN DE CARVAJAL",0,"CAFÉ ANDRADE, S.A. DE C.V.",1100,COSAUTLAN DE CARVAJAL,JOSÉ LUIS ANDRADE SANDARA,200,1,2013,"July 15th, 2014",J.ANDRADE,Other,Completed,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,82,12%,0 full defects,0,Green,0 full defects,"July 15th, 2015",1100,1100
82.17,Arabica,Mexico,,,NONE,LUSSO COFFEE LAB,"1,200-1,600m","La Concordia, Chiapas",Union Ramal Santa Cruz,2,2,2013,"April 10th, 2014",LUSSO LAB,Other,Completed,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82,10%,1 full defects,0,None,1 full defects,"April 10th, 2015",1,1
82.17,Arabica,Taiwan,Song Yue Coffee ????,Song Yue Coffee ????,,Blossom Valley????,1200 M,Yunlin ?????,Guo Zhang Sheng ???,60,60,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI??????,Typica,Completed,Other,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,82,11%,0 full defects,0,Green,0 full defects,"December 26th, 2014",1200,1200
82.17,Arabica,Taiwan,Kan Tou Mountain Coffee ??????,Kan Tou Mountain Coffee ??????,Taiwan,"RED ON TREE CO., LTD.",800 M,"Dongshan Dist., Tainan City ??????",Jufeng-Tseng ???,80,10,2012,"May 29th, 2013","Lin, Che-Hao Krude ???",Typica,Completed,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,82,0%,0 full defects,0,Green,0 full defects,"May 29th, 2014",800,800
82.17,Arabica,Colombia,,triladora bonanza,3-68-0144,Exportadora de Cafe Condor S.A,1750 msnm,huila,,250,70,2013,"March 20th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,82,0%,0 full defects,0,Bluish-Green,1 full defects,"March 20th, 2014",1750,1750
82.17,Arabica,Mexico,EL NANCHI,"BUENAS VISTA, MUNICIPIO DE SAN BARTOLO TUTOTEPEC",1702764973,,1144,SAN BARTOLO TUTOTEPEC,AVILA MARTINEZ ADOLFO,10,1,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Completed,Washed / Wet,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,82,15%,1 full defects,0,None,9 full defects,"September 27th, 2013",1144,1144
82.17,Arabica,Guatemala,,,11/00183/00020,The Coffee Source Inc.,1350,Oriente,Several producers,250,1,2012,"August 2nd, 2012",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,82,12%,0 full defects,0,None,2 full defects,"August 2nd, 2013",1350,1350
82.17,Arabica,Mexico,LAS TRUCHAS,LAS TRUCHAS,3196666,,1000,ALTOTONGA,SALVADOR CARO CARRION,200,1,2012,"July 11th, 2012",SALVADOR CARO CARRION,Typica,Completed,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,82,12%,0 full defects,0,Green,4 full defects,"July 11th, 2013",1000,1000
82.17,Arabica,Mexico,"LA CALERA, BARRANCA DE LA LEONA, EL NOGAL",BENEFICIO PRODUCTORES ORGANICOS DE CNOAS S.P.R. DE R.L.,"70381402, 70381402, 703815394",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,1200,COLIMA,"OSCAR TORRES OCHOCA, GENARO MATA CAMBEROS, MANUEL DUARTE MUNGUIA",60,1,2012,"July 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Completed,Washed / Wet,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,82,10%,0 full defects,0,Green,1 full defects,"July 2nd, 2013",1200,1200
82.17,Arabica,Colombia,,Trrilladora Bonanza-Armenia,3-68-0154,,1800 msnm,huila,,250,70,4T/10,"February 9th, 2011",Exportadora de Cafe Condor S.A,,Completed,,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,7.42,82,8%,0 full defects,0,,0 full defects,"February 9th, 2012",1800,1800
82.08,Arabica,Indonesia,Vary,Bener Meriah - Gayo,,PT. Shriya Artha Nusantara,1300,Aceh Gayo,Various Farms,2,1,2017,"August 3rd, 2017",SanJava Coffee,Bourbon,Completed,Washed / Wet,7.5,7.5,7.42,7.42,7.5,7.42,10,10,10,7.33,82,15%,0 full defects,0,,3 full defects,"August 3rd, 2018",1300,1300
82.08,Arabica,Colombia,,San José / Neiva,03-05-0846,SKN CARIBECAFE LTDA,,Huila,,275,70,2016,"February 20th, 2017",Raúl Vargas,Caturra,Completed,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10,7.58,82,0%,0 full defects,7,Green,6 full defects,"February 20th, 2018",,
82.08,Arabica,Brazil,Fazenda Capoeirinha,Dry mill,002/1660/0105,Ipanema Coffees,894,South of Minas Gerais,Ipanema Agricola,320,60,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,82,11%,0 full defects,1,Green,3 full defects,"August 16th, 2017",894,894
82.08,Arabica,Brazil,Rio Verde,Ipanema Comercial e Exportadora SA,002/4177/0150,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,320,2,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,82,0%,0 full defects,0,Green,1 full defects,"October 7th, 2016",1,1
82.08,Arabica,Costa Rica,EL PATALILLO,EL PATALILLO,5-019-0060,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",1200-1400 MASL,TRES RIOS,JOSE FRANCISCO GONZALEZ,275,350,2015,"April 10th, 2015","CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,Completed,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,82,0%,0 full defects,0,Blue-Green,0 full defects,"April 9th, 2016",1200,1400
82.08,Arabica,"Tanzania, United Republic Of",AMPCG,DAE,4,VOLCAFE/TaylorWinch Tanzania Ltd,1500,Kilimanjaro,AMPCG,300,2,2014,"March 25th, 2015",Balam Hinyula,Bourbon,Completed,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,82,12%,0 full defects,0,Green,5 full defects,"March 24th, 2016",1500,1500
82.08,Arabica,"Tanzania, United Republic Of",Ngorogoro Convenant Estate,Ngorogoro Convenant Estate,C19,Ngorogoro Convenant Estate,1500 - 1700,Ngorogoro,Ngorogoro Convenant Estate,1,60,2014,"January 8th, 2015",Ngorogoro Convenant Estate,Other,Completed,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,82,12%,0 full defects,0,Green,3 full defects,"January 8th, 2016",1500,1700
82.08,Arabica,Costa Rica,Cafetalera Aquiares,Cafetalera Aquiares,5-025-0101,"CECA,S.A.",1.3,Turrialba,Cafetalera Aquiares,150,69,2013,"March 21st, 2014","CECA, S.A.",Caturra,Completed,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,82,11%,0 full defects,0,Green,2 full defects,"March 21st, 2015",1,1
82.08,Arabica,United States (Hawaii),,,230035,Kona Pacific Farmers Cooperative,,KONA,,4,9.1125,2012,"November 26th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10,10,10,7.5,82,11%,0 full defects,0,Bluish-Green,0 full defects,"November 26th, 2013",,
82.08,Arabica,Mexico,"CAFETAL EL EQUIMITE, RANCHO AGROECOLÓGICO","CAFETAL EL EQUIMITE, RANCHO AGROECOLÓGICO",0,,1300,COATEPEC,GIBRAN LEONARDO CERVANTES COVARRUBIAS,35,1,2012,"September 10th, 2012","El Equimite, Cafetal Biodinámico",Typica,Completed,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,82,13%,0 full defects,0,Green,7 full defects,"September 10th, 2013",1300,1300
82.08,Arabica,Mexico,,"TAPACHULA, CHIAPAS",0,INDIGENAS DE LA SIERRA MADRE DE MOTOZINTLA SAN ISIDRO LABRADOR S. DE S.S.,1800,TAPACHULA,ISMAM SAN ISIDRO LABRADOR S. DE S.S.,250,1,2012,"August 30th, 2012",JULIO PEREZ HERNANDEZ,Typica,Completed,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,82,13%,3 full defects,0,Green,13 full defects,"August 30th, 2013",1800,1800
82.08,Arabica,Mexico,BOLA DE ORO,"COATEPEC, VER",1104362837,,1250,COATEPEC,ROSA AURORA FALCON FERNANDEZ,15,1,2012,"July 26th, 2012",ROSA AURORA FALCON FERNANDEZ,Typica,Completed,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,82,11%,0 full defects,0,Green,11 full defects,"July 26th, 2013",1250,1250
82.08,Arabica,Vietnam,"Apollo Co., LTd.","Apollo Co., LTd.",,Royal Base Corporation,1040M,Don Duong,"Apollo Co., LTd.",1,2,2012,"July 23rd, 2012",Royal Base Corporation,Other,Completed,Natural / Dry,7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,82,12%,0 full defects,0,Green,2 full defects,"July 23rd, 2013",1040,1040
82.08,Arabica,Mexico,TOMATLANCILLO,CAFETALERA LA CUCHILLA,1102751467,,1250,HUATUSCO,RAMIRO DE LA VEQUIA BERNARDI,250,1,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Completed,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,82,11%,0 full defects,0,Green,1 full defects,"July 11th, 2013",1250,1250
82.08,Arabica,United States (Hawaii),,,2200302,CQI,,Kona,,10,9.1125,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10,10,10,7.42,82,10%,0 full defects,0,Green,2 full defects,"February 22nd, 2013",,
